shapeid,MP,Constituency,Region,Party,MP's Religion,Denomination,Lat,Long,Dominant Religion
114,Abena Osei-Asare (Mrs),Atiwa East,Eastern Region,NPP,Christian,Methodist,6.346113985,-0.609249421,Christian
115,Kwasi Amoako-Attah,Atiwa West,Eastern Region,NPP,Christian,Presby,6.335685182,-0.760959626,Christian
116,Samuel Ayeh-Paye,Ayensuano,Eastern Region,NPP,Christian,Presby,5.914792279,-0.493368291,Christian
117,Amankwa Kwabena Asiamah,Fanteakwa North,Eastern Region,NPP,Christian,Presby,6.533392483,-0.312065862,Christian
118,Kofi Okyere-Agyekum,Fanteakwa South,Eastern Region,NPP,Christian,Presby,6.354268091,-0.387496089,Christian
119,Ofosu Asamoah,Kade,Eastern Region,NPP,Christian,Presby,6.198224908,-0.84013144,Christian
120,Ebenezer Okletey Terlabi,Lower Manya Krobo,Eastern Region,NDC,Christian,Church of Pentecost,6.242627317,-0.032350648,Christian
121,Gifty Klenam (Ms),Lower West Akim,Eastern Region,NPP,Christian,ICGC,5.794412073,-0.592436663,Christian
122,Kwame Seth Acheampong,Mpraeso,Eastern Region,NPP,Christian,Presby,6.597308865,-0.588210794,Christian
123,Kwasi Boateng Adjei,New Juaben North,Eastern Region,NPP,Christian,Methodist,6.141956977,-0.29659421,Christian
124,Mark Assibey-Yeboah (Dr),New Juaben South,Eastern Region,NPP,Christian,Presby,6.075441746,-0.26139088,Christian
125,Eric Kwakye Darfour,Nkawkaw,Eastern Region,NPP,Christian,ISKCON,6.516523716,-0.778617074,Christian
126,Frank Annoh-Dompreh,Nsawam-Adoagyiri,Eastern Region,NPP,Christian,Church of Pentecost,5.78542372,-0.310044253,Christian
127,David Oppon-Kusi,Ofoase-Ayirebi,Eastern Region,NPP,Christian,Methodist,6.105516589,-1.091223078,Christian
128,Daniel Botwe,Okere,Eastern Region,NPP,Christian,Presby,6.03373341,-0.123745944,Christian
129,Frederick Opare-Ansah,Suhum,Eastern Region,NPP,Christian,,6.020746536,-0.41033906,Christian
130,Jeff Tetteh Kavianu,Upper Manya Krobo,Eastern Region,NDC,Christian,New Fountain of Life Ministry International,6.435367778,-0.128509462,Christian
131,Joseph Sam Amankwanor,Upper West Akim,Eastern Region,NDC,Christian,Royal House Temple,5.930487441,-0.704451105,Christian
132,Magnus Kofi Amoatey,Yilo Krobo,Eastern Region,NDC,Christian,Presbyterian,6.19723145,-0.173311678,Christian
133,Theophilus Tetteh Chaie,Ablekuma Central,Greater Accra Region,NDC,Christian,Methodist,5.600585134,-0.276514135,Christian
134,Justice Joe Appiah,Ablekuma North,Greater Accra Region,NPP,Christian,Presbyterian church,5.630745757,-0.272532859,Christian
135,Fritz Frederic Baffour,Ablekuma South,Greater Accra Region,NDC,Christian,Catholic,5.567420036,-0.274257267,Christian
136,Ursula G. Owusu-Ekuful (Mrs.),Ablekuma West,Greater Accra Region,NPP,Christian,,5.622890475,-0.318638242,Christian
137,Comfort Doyoe Cudjoe-Ghansah (Mrs.),Ada,Greater Accra Region,NDC,Christian,Methodist,5.868325005,0.545617528,christian
138,Emmanuel Nii Ashie-Moore,Adenta,Greater Accra Region,NDC,Christian,,5.709702043,-0.123891599,Christian
139,Nii Okai Emmanuel Laryea,Amasaman,Greater Accra Region,NDC,Christian,Anglican,5.710992138,-0.262906409,Christian
140,Shirley A. Botchway(Ms),Anyaa-Sowutuom,Greater Accra Region,NPP,Christian,Anglican,5.580460669,-0.331227584,Christian
141,Alfred Kwame Agbesi,Ashaiman,Greater Accra Region,NDC,Christian,Evangelical Presby,5.705225222,-0.027968105,Christian
142,Henry Quartey,Ayawaso Central,Greater Accra Region,NPP,Christian,Power Impact Ministries,5.60799675,-0.181951878,Christian
143,Naser Toure Mahama,Ayawaso East,Greater Accra Region,NDC,Islam,,5.631609715,-0.148157027,Islam
144,Mustapha Ahmed (Maj [Rtd]) (Dr) (Alh),Ayawaso North,Greater Accra Region,NDC,Islam,,5.654076373,-0.175344838,Islam
145,Kyeremateng Emmanuel Agyarko,Ayawaso West Wuogon,Greater Accra Region,NPP,Christian,Presby,5.645310768,-0.201057128,Christian
146,Bright Edward Kodzo Demordzi,Bortianor-Ngleshie Amanfro,Greater Accra Region,NDC,Christian,Overcomers Praise Assembly International,5.694466068,-0.452865023,Christian
147,Nii Amasah Namoale,Dadekotopon,Greater Accra Region,NDC,Christian,Church of Christ,5.566129893,-0.191307836,Christian
148,Daoud Anum Yemoh,Domeabra-Obom,Greater Accra Region,NDC,Islam,,5.698123376,-0.373084731,Islam
149,Sarah Adwoa Safo (Ms),Dome-Kwabenya,Greater Accra Region,NPP,Christian,Kristo Asafo Mission,5.696502697,-0.22455234,Christian
150,Nii Armah Ashietey,Korle Klottey,Greater Accra Region,NDC,Christian,Anglican,5.535843807,-0.26725407,Christian
151,Joseph Nii Laryea Afotey-Agbo,Kpone-Katamanso,Greater Accra Region,NDC,Christian,Presby,5.800519744,-0.017513384,Christian
152,Nii Oakley Quaye-Kumah (Dr),Krowor,Greater Accra Region,NDC,Christian,Presbyterian church,5.592560958,-0.116503942,Christian
153,Benita Sena Okity-Duah (Mrs.),Ledzokuku,Greater Accra Region,NDC,Christian,LDS,5.577450166,-0.156448185,Christian
154,Amadu B. Sorogho (Alhaji),Madina,Greater Accra Region,NDC,Islam,,5.733420944,-0.203228774,Christian
155,Enoch Teye Mensah,Ningo Prampram,Greater Accra Region,NDC,Christian,Methodist,5.836471006,0.195842439,Christian
156,Edwin Nii Lantey Vanderpuye,Odododiodioo,Greater Accra Region,NDC,Christian,World Harvest Church,5.554431083,-0.226700316,Christian
157,Patrick Yaw Boamah,Okaikwei Central,Greater Accra Region,NPP,Christian,Methodist,5.623373997,-0.231201597,Christian
158,Elizabeth K. T. Sackey(Mrs),Okaikwei North,Greater Accra Region,NPP,Christian,Church of Pentecost,5.65164314,-0.233608831,Christian
159,Ahmed Arthur,Okaikwei South,Greater Accra Region,NPP,Christian,ICGC,5.59568668,-0.229911092,Christian
160,Christian Corleytey Otuteye,Sege,Greater Accra Region,NDC,Christian,Presbyterian,5.889524355,0.389741462,Christian
161,David Tetteh Assumeng,Shai-Osudoku,Greater Accra Region,NDC,Christian,Presby,6.007916486,0.122317138,Christian
162,Kofi Brako,Tema Central,Greater Accra Region,NPP,Christian,LDS,5.651328483,-0.033810294,Christian
163,Daniel Nii Kwartei Titus-Glover,Tema East,Greater Accra Region,NPP,Christian,Miracle Life Gospel Church,5.673548367,0.01927506,Christian
164,Irene Naa Torshie Addo (Mrs),Tema West,Greater Accra Region,NPP,Christian,Baptist,5.638970338,-0.097325762,Christian
165,Moses Anim,Trobu,Greater Accra Region,NPP,Christian,Church of Pentecost,5.692415565,-0.293490784,Christian
166,Rosemund Comfort Abrah (Ms.),Weija-Gbawe,Greater Accra Region,NPP,Christian,Presby,5.559241851,-0.364200904,Christian
167,Dominic B. A. Nitiwul,Bimbilla,Northern Region,NPP,Christian,Catholic,8.843094779,-0.129934356,Islam
168,Joseph Akati Saaka (Alhaji),Bole-Bamboi,Northern Region,NDC,Islam,,8.655004298,-2.259235975,Islam
169,Solomon Namliit Boar,Bunkpurugu,Northern Region,NPP,Christian,N/A,10.45765916,0.063415255,Traditionalist
170,Namoro Sanda Azumah,Chereponi,Northern Region,NPP,Islam,,10.12765666,0.231660881,Islam
171,Abudu Nelson Baani,Daboya-Mankarigu,Northern Region,NDC,Islam,,9.664014167,-1.551613925,Islam
172,Mutawakilu Adam,Damongo,Northern Region,NDC,Islam,,9.180905986,-1.87305166,Islam
173,Matthew Nyindam,Gushegu,Northern Region,NDC,Christian,Church of Christ,10.02590394,-0.164524796,Islam
174,Sualihu Dandaawa Alhassan,Karaga,Northern Region,NDC,Islam,,9.875047178,-0.527275256,Islam
175,Matthew Nyindam,Kpandai,Northern Region,NPP,Christian,Catholic,8.387709122,-0.023552498,Traditionalist
176,Amadu Moses Yahaya,Kumbungu,Northern Region,CPP,Islam,Sunni,9.756809223,-1.110349045,Islam
177,Ahmed Yakubu Alhassan (Dr),Mion,Northern Region,NDC,Islam,Sunni,9.389222963,-0.199110507,Islam
178,Alfred Sugri Tia (Dr),Nalerigu-Gambaga,Northern Region,NDC,Christian,Presbyterian,10.45617337,-0.422512924,Islam
179,Murtala Ibrahim Muhammed,Nanton,Northern Region,NDC,Islam,,9.59814382,-0.688779379,Islam
180,Joseph Nikpe Bukari,Saboba,Northern Region,NDC,Christian,Evangelical Presbyterian,9.673016225,0.180862269,Christian
181,Bashir Fuseini Alhassan,Sagnarigu,Northern Region,NDC,Islam,,9.48812337,-0.660647538,Islam
182,Alhassan Mumuni (Alhaji),Salaga North,Northern Region,NDC,Islam,,8.942265071,-0.536892501,Islam
183,Ibrahim Dey Abubakari (Alhaji),Salaga South,Northern Region,NDC,Islam,,8.38300552,-0.76984839,Islam
184,Mary Salifu Boforo (Hajia),Savelugu,Northern Region,NDC,Islam,,9.854706243,-0.840871862,Islam
185,Donald Dari Soditey,Sawla-Tuna-Kalba,Northern Region,NDC,Christian,Catholic,9.459284455,-2.388774812,Christian
186,Inusah Abdulai B. Fuseini (Alhaji),Tamale Central,Northern Region,NDC,Islam,Sunni,9.447462187,-0.852518859,Islam
187,Dahamani Alhassan,Tamale North,Northern Region,Independent,Islam,Sunni,9.522497353,-0.801767934,Islam
188,Haruna Iddrisu,Tamale South,Northern Region,NDC,Islam,Sunni,9.367807937,-0.775784013,Islam
189,James Cecil Yanwube,Tatale-Sanguli,Northern Region,NPP,Christian,Baptist,9.185587104,0.457122784,Traditionalist
190,Wahab Wumbei Suhiyini,Tolon,Northern Region,NPP,Islam,,9.396945356,-1.057893049,Islam
191,Sagre Bambangi (Dr.),Walewale,Northern Region,NPP,Islam,,10.32734533,-0.851048091,Islam
192,Maban George Laliri,Wulensi,Northern Region,NDC,Christian,Catholic,8.775389473,0.123585996,Traditionalist
193,Mustapha Ussif,Yagaba-Kubori,Northern Region,NPP,Islam,,10.25525505,-1.35853928,Islam
194,Seidu Amadu (Alhaji),Yapei-Kusawgu,Northern Region,NDC,Islam,,8.924204415,-1.323489784,Islam
195,Tijani Habibu Mohammad (Alhaji),Yendi,Northern Region,NPP,Islam,Sunni,9.393573362,0.099586667,Islam
196,Joseph Bipoba Naabu,Yunyoo,Northern Region,NDC,Christian,Catholic,10.49676955,-0.144956219,Islam
197,Jabaah John Bennam,Zabzugu,Northern Region,NPP,Christian,Last Day Gospel Church,9.16484855,0.316292901,Islam
198,Mahama Ayariga,Bawku Central,Upper East Region,NDC,Islam,,10.95692776,-0.308844179,Islam
199,Noah Ben Azure,Binduri,Upper East Region,NDC,Christian,Church of God,11.06294578,-0.052912669,Islam
200,Opam-Brown Emmanuel Akolbire,Bolgatanga Central,Upper East Region,NDC,Christian,Catholic,10.7380149,-0.938339648,Christian
201,Dominic Ayine,Bolgatanga East,Upper East Region,NDC,Christian,Catholic,10.77302883,-0.805952756,Christian
202,Albert Abongo,Bongo,Upper East Region,NDC,Christian,Catholic,10.91381403,-0.793120969,Traditionalist
203,James Agalga,Builsa North,Upper East Region,NDC,Christian,Catholic,10.67856159,-1.333579759,Traditionalist
204,Alhassan Azong,Builsa South,Upper East Region,PNC,Islam,,10.46633004,-1.303328977,Traditionalist
205,Pele Abuga,Chiana-Paga,Upper East Region,NDC,Eckankar,,10.89764072,-1.307358073,Traditionalist
206,Azimbe Dominic Azumah,Garu,Upper East Region,NDC,Christian,Catholic,10.76751914,-0.237199452,Islam
207,Boniface Gambila Adagbila,Nabdam,Upper East Region,NPP,Christian,,10.79872458,-0.655922361,Christian
208,Mark Owen Woyongo,Navrongo Central,Upper East Region,NDC,Christian,Catholic,10.76900224,-1.045000775,Christian
209,Laadi Ayii Ayamba,Pusiga,Upper East Region,NDC,Islam,,11.06775401,-0.201833146,Islam
210,Benson Tongo Baba,Talensi,Upper East Region,NDC,Christian,,10.63608588,-0.722483606,Traditionalist
211,David Adakudugu,Tempane,Upper East Region,NDC,Christian,Assemblies of God,10.91404429,-0.080961974,Islam
212,Apul Cletus Avoka,Zebilla,Upper East Region,NDC,Christian,Catholic,10.82611694,-0.474713674,Christian
213,Mathias Asoma Puozaa,Daffiama-Bussie-Issa,Upper West Region,NDC,Christian,,10.35719161,-2.351313691,Christian
214,Paul Derigubaa,Jirapa,Upper West Region,Independent,Christian, Catholic,10.59957586,-2.589684604,Christian
215,Edward Kaale-Ewola Dery,Lambussie-Karni,Upper West Region,NDC,Christian,,10.86971498,-2.63789034,Christian
216,Samson Abu,Lawra,Upper West Region,NDC,Christian,Catholic,10.65224267,-2.817758238,Christian
217,Alban S. K. Bagbin,Nadowli-Kaleo,Upper West Region,NDC,Christian,Catholic,10.28621425,-2.669300944,Christian
218,Benjamin Bewa-Nyog Kunbuor (Dr.),Nandom,Upper West Region,NDC,Christian,Catholic,10.85950848,-2.789335465,Christian
219,Alijata Sulemana Gbentie (Hajia),Sissala East,Upper West Region,NDC,Islam,,10.63622146,-1.75302673,Islam
220,Amin Amidu Suleimani,Sissala West,Upper West Region,NDC,Islam,,10.72090556,-2.215576649,Islam
221,Abdul-Rashid Pelpuo,Wa Central,Upper West Region,NDC,Islam,,9.974053254,-2.297222186,Islam
222,Ameen Salifu,Wa East,Upper West Region,NDC,Islam,,9.990767543,-1.885636472,Islam
223,Joseph Yieleh Chireh,Wa West,Upper West Region,NDC,Christian,,9.929437097,-2.665728095,Christian
